id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29886395,2018年全新开张东京旅馆 步行到JR站仅3分钟池袋站仅7分钟的日式四人复式家庭房可睡四口之家,106684124,明月,,Toshima Ku,35.73529,139.74927,Private room,13650,2,1,2019-11-04,0.04,4,180,0,Hotels and Inns Business Act | 元豊池保衛環き第90号 | 第90号
29889235,3 mins to Otuska sta. #201 /50m²,103784500,SooHome,,Toshima Ku,35.73055,139.73184,Entire home/apt,25800,1,35,2020-02-09,0.93,5,169,0,Hotels and Inns Business Act | 豊島区池袋保健所 | 30豊池保衛環き第160号
29892828,★New Open★1min walk Nishi-shinjuku/Cozy&Clean,98770436,Tom,,Shinjuku Ku,35.69407,139.69359,Entire home/apt,10371,1,44,2021-02-14,1.16,11,33,1,M130009865
29895015,SHIBUYA QCQC DESIGN STUDIO : STATION 5MINS WALK,771694,Lp,,Shibuya Ku,35.65926,139.69609,Entire home/apt,9856,1,44,2021-11-14,1.15,8,361,11,M130010100
29907234,Shinjuku Area! New Decoration! Convenient,163145419,Kazutaka,,Shinjuku Ku,35.68409,139.68744,Entire home/apt,25097,1,50,2020-07-05,1.33,12,162,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 30新保衛環第92号
29908162,"New Open licensed Apt. Ikebukuro West exit, Wi-fi",156761524,Megumi,,Toshima Ku,35.72552,139.70284,Entire home/apt,12000,1,34,2020-05-16,0.91,4,179,0,M130010012
29910059,パレット高島平　スーペリア　ファミリールーム,14701464,Akio,,Itabashi Ku,35.78921,139.66203,Private room,6388,1,8,2021-12-06,0.27,3,243,5,M130011214
29912303,【個室】ダブルルーム,192671656,And Hostel,,Chiyoda Ku,35.6984,139.7769,Hotel room,6523,1,35,2021-12-02,6.03,3,268,35,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第69号
29913651,"Mix Dorm 1P #2,@Tokyo Hikari GH,1 min Station",157882986,Isa And Yumiko,,Taito Ku,35.70271,139.79109,Shared room,3400,1,10,2020-01-04,0.28,4,177,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 26台台健生環き第50号
29927830,Haneda Homestay. Triple room.,40468635,Clint,,Ota Ku,35.55162,139.73557,Private room,6000,2,3,2019-06-08,0.09,3,110,0,M130006683
29929321,匯家 KAIKE love・in・osiro　 Direct NRT/HND Airport 貸切,218849633,Sihou,,Sumida Ku,35.70457,139.80009,Entire home/apt,32571,3,4,2020-01-28,0.12,14,18,0,M130012378
29931217,Dormitory Room male Only(男性用ﾄﾞﾐﾄﾘｰ･禁煙),192671656,And Hostel,,Chiyoda Ku,35.6965,139.77804,Hotel room,3000,1,8,2021-12-11,1.59,3,268,8,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第69号
29931369,【 IoTルーム】スーペリア　ダブルルーム,192671656,And Hostel,,Chiyoda Ku,35.6984,139.77697,Hotel room,6523,1,3,2021-12-12,0.70,3,264,3,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第69号
29938504,Iriya 8min|☆Asakusa&Ueno☆|PrivateRoom|Max2|B,38047329,Start One,,Taito Ku,35.71874,139.78913,Private room,13571,1,35,2019-12-06,0.94,8,351,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 31台台健生環き第10126号
29939180,SOH Senzoku E  · Iriya 8min|☆Asakusa&Ueno☆|PrivateRoom|Max2|E,38047329,Start One,,Taito Ku,35.72025,139.79064,Private room,11143,1,31,2020-01-02,0.83,8,353,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 31台台健生環き第10126号
29947170,8F SHIBUYA QCQC CABIN STUDIO : STATION 3MINS WALK,771694,Lp,,Shibuya Ku,35.65922,139.69606,Entire home/apt,11023,1,32,2021-11-28,0.86,8,363,3,M130010103
29947521,Otaku mecca japanese house,225161556,Reiko,,Nerima Ku,35.75845,139.5885,Entire home/apt,5000,3,26,2021-11-26,0.79,1,92,2,M130007237
